Aerminute,Call Sign,Closest UPA,Code,County,Division,FAA Station Type,FAA's Station Telephone #,Location,State,Wban,#,Actual Local (meters),Actual Local Lat. (N),Actual Local Lon. (W),Corrected Local Lat. (N),Corrected Local Lon. (W),Distance To ABR,Distance To INL,Distance To MPX,FAA Lat. (N),FAA Lon. (W),Latitude,Longitude,NCDC (ASL) Elevation (feet),NCDC (ASL) Elevation (meters),NCDC DecDeg Lat. (N),NCDC DecDeg Lon. (W),NCDC ISHD Elevation (feet),NCDC ISHD Elevation (meters),NCDC ISHD Lat. (N),NCDC ISHD Lon. (W),Usaf,years,start_year,end_year
Yes,FFM,ABR,KFFM,Otter Tail,West Central,AWOS IIIP,218-736-7216,Fergus Falls,MN,94966,29,361,46.285942,-96.153497,NA,NA,2.407630159,3.573440428,2.960317413,46.2844,-96.1567,46.285942,-96.153497,1185,361.2,46.283333,-96.15,1184.06,360.9,46.289,-96.151,726560,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,FAR,ABR,KFAR,Cass,NA,ASOS,701-298-3877,Fargo Int'l Arpt,ND,14914,26,272,46.9111,-96.8147,NA,NA,2.162087822,3.7941993,3.848442039,46.921,-96.816,46.9111,-96.8147,900,274.3,46.933333,-96.816667,898.9501312,274,46.925,-96.811,727530,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,GFK,ABR,KGFK,Grand Forks,NA,ASOS,701-772-3486,Grand Forks Int'l Arpt,ND,14916,37,255,47.947406,-97.183769,NA,NA,2.778801696,3.835016969,4.763643185,47.949,-97.176,47.947406,-97.183769,842,256.6,47.95,-97.183333,832.0209973999999,253.6,47.949,-97.176,727576,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,ABR,ABR,KABR,Brown,NA,ASOS,605-229-4512,Aberdeen,SD,14929,1,395,45.44357,-98.413619,NA,NA,0.011880911,5.905536155,4.884824526,45.449,-98.422,45.44357,-98.413619,1297,395.3,45.45,-98.416667,1299.87,396.2,45.45,-98.421,726590,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,ATY,ABR,KATY,Codington,NA,ASOS,605-882-0578,Watertown,SD,14946,6,525,44.91766,-97.154382,NA,NA,1.369025736,5.23315926,3.589972716,44.914,-97.155,44.91766,-97.154382,1748,532.8,44.9,-97.15,1740.1599999999999,530.4,44.931,-97.154,726546,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,FSD,ABR,KFSD,Minnehaha,NA,ASOS,605-331-7833,Sioux Falls,SD,14944,34,433,43.5764,-96.7513,43.577508,-96.753835,2.508635393,6.007820583,3.431158199,43.582,-96.742,43.577508,-96.7513,1428,435.3,43.583333,-96.75,1426.84,434.9,43.577,-96.754,726510,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,PKD,INL,KPKD,Hubbard,North Central,ASOS,218-732-0920,Park Rapids,MN,94967,70,439,46.898164,-95.070857,NA,NA,3.640567129,2.358862995,2.542555592,46.901,-95.073,46.898164,-95.070857,1434,437.1,46.9,-95.066667,1442.91,439.8,46.901,-95.068,727453,1999 2000 2001 2002 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,INL,INL,KINL,Koochiching,North Central,ASOS,218-285-2996,International Falls,MN,14918,47,353,48.5615,-93.3982,48.559452,-93.395576,5.899097281,4.97e-5,3.715780245,48.566,-93.403,48.559452,-93.3982,1183,360.6,48.566667,-93.4,1183.07,360.6,48.566,-93.403,727470,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,BDE,INL,KBDE,Lake of the Woods,North Central,ASOS,218-634-3080,Baudette Intl'l Aprt,MN,94961,9,327,48.725933,-94.603841,48.7261,-94.6121,5.020804385,1.216775974,4.013234742,48.729,-94.612,48.7261,-94.603841,1082,329.8,48.716667,-94.6,1083.99,330.4,48.728,-94.61,727476,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,GNA,INL,KGNA,Cook,Northeast,ASOS,NA,Grand Marais,MN,94992,39,185,47.747238,-90.343261,NA,NA,8.389203461,3.161614862,4.333248255,NA,NA,47.747238,-90.343261,610,185.9,47.75,-90.35,609.9081365000001,185.9,47.747,-90.344,727469,1999 2000 2001 2002 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,HIB,INL,KHIB,Saint Louis,Northeast,ASOS,218-263-8384,Hibbing,MN,94931,44,408,47.3804,-92.8324,NA,NA,5.90360145,1.309608071,2.634844031,47.387,-92.839,47.3804,-92.8324,1347,410.6,47.383333,-92.833333,1356.96,413.6,47.387,-92.839,727455,2000 2001 2002 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2e3,2017
Yes,DLH,INL,KDLH,Saint Louis,Northeast,ASOS,218-723-8340,Duluth Intl'l Aprt,MN,14913,19,435,46.8434,-92.1866,NA,NA,6.379569032,2.102329455,2.424027335,46.842,-92.194,46.8434,-92.1866,1433,436.8,46.833333,-92.183333,1416.99,431.9,46.844,-92.194,727450,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,STC,MPX,KSTC,Sherburne,Central,ASOS,320-240-8781,St. Cloud,MN,14926,81,310,45.54415,-94.051625,NA,NA,4.362632847,3.087247013,0.848134128,45.547,-94.06,45.54415,-94.051625,1018,310.3,45.55,-94.05,1023.9499999999999,312.1,45.545,-94.052,726550,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,BRD,MPX,KBRD,Crow Wing,East Central,ASOS,218-828-3314,Brainerd,MN,94938,13,372,46.404832999999996,-94.130374,46.402062,-94.12736,4.38694275,2.277516312,1.654914981,46.398,-94.138,46.402062,-94.130374,1221,372.2,46.4,-94.133333,1226.05,373.7,46.405,-94.131,726555,2000 2001 2002 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2e3,2017
Yes,MSP,MPX,KMSP,Hennepin,East Central,ASOS,612-725-0939,Minneapolis/St. Paul Int'l Aprt,MN,14922,60,256,44.8852,-93.2313,NA,NA,5.213337431,3.680050079,0.335664283,44.883,-93.217,44.8852,-93.2313,872,265.8,44.883333,-93.233333,837.9265091999999,255.4,44.883,-93.229,726580,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,MIC,MPX,KMIC,Hennepin,East Central,ASOS,763-531-2343,Minneapolis/Crystal,MN,94960,55,262,45.062198,-93.351013,NA,NA,5.077594136,3.499582572,0.30177622,45.062,-93.354,45.062198,-93.351013,NA,NA,NA,NA,869.094516,264.9,45.063,-93.351,726575,2000 2001 2002 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2e3,2017
Yes,FCM,MPX,KFCM,Hennepin,East Central,ASOS,952-941-4156,Flying Cloud Arpt,MN,94963,28,276,44.827015,-93.464339,44.824871,-93.457042,4.98875709,3.735032066,0.103190371,44.827,-93.457,44.824871,-93.464339,NA,NA,NA,NA,943.8976679999998,287.7,44.832,-93.47,726579,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2e3,2017
Yes,STP,MPX,KSTP,Ramsey,East Central,ASOS,651-298-1410,Saint Paul Downtown Arpt,MN,14927,82,212,44.930708,-93.054283,44.932334,-93.055866,5.384701987,3.64700912,0.51719437,44.935,-93.06,44.932334,-93.054283,NA,NA,NA,NA,710.9580279999999,216.7,44.93,-93.048,726584,1999 2000 2001 2002 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,RST,MPX,KRST,Olmsted,Southeast,ASOS,507-285-0298,Rochester,MN,14925,77,396,43.904,-92.4921,NA,NA,6.121132535,4.744789509,1.430086173,43.907,-92.499,43.904,-92.4921,1304,397.5,43.9,-92.5,1319.8799999999999,402.3,43.904,-92.492,726440,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,RWF,MPX,KRWF,Redwood,Southwest,ASOS,507-644-3564,Redwood Falls,MN,14992,78,311,44.5483,-95.080378,NA,NA,3.454223479,4.351446243,1.544959513,44.547,-95.082,44.5483,-95.080378,1025,312.4,44.55,-95.083333,1029.86,313.9,44.547,-95.082,726556,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2e3,2017
Yes,AXN,MPX,KAXN,Douglas,West Central,ASOS,320-763-7174,Alexandria,MN,14910,7,432,45.868032,-95.393961,NA,NA,3.047453318,3.35223797,2.093409292,45.866,-95.395,45.868032,-95.393961,1416,431.6,45.866667,-95.4,1431.1,436.2,45.883,-95.393,726557,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,EAU,MPX,KEAU,Eau Claire,NA,ASOS,715-832-7990,Eau Claire,WI,14991,23,269,44.8665,-91.4879,NA,NA,6.950453263,4.159580812,2.077226827,44.866,-91.484,44.8665,-91.4879,885,269.7,44.866667,-91.483333,895.0131233999999,272.8,44.865,-91.485,726435,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
Yes,LSE,MPX,KLSE,La Crosse,NA,ASOS,608-781-9067,La Crosse,WI,14920,51,198,43.8792,-91.2532,NA,NA,7.33160226,5.150217444,2.507210159,43.879,-91.257,43.8792,-91.2532,652,198.7,43.883333,-91.25,655.839895,199.9,43.754,-91.256,726430,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,DXX,NA,KDXX,NA,NA,ASOS,NA,Madison,MN,NA,22,NA,44.9839,-96.1788,NA,NA,NA,NA,NA,NA,NA,44.9839,-96.1788,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
No,AUM,NA,KAUM,Mower,NA,ASOS,NA,Austin,MN,NA,NA,NA,43.6688,-92.9321,NA,NA,NA,NA,NA,NA,NA,43.6688,-92.9321,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,CYWG,NA,CYWG,NA,NA,NA,NA,NA,Canada,NA,NA,NA,49.91,-97.24,NA,NA,NA,NA,NA,NA,NA,49.91,-97.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CWGN,NA,CWGN,NA,NA,NA,NA,NA,Canada,NA,NA,NA,49.03,97.57,NA,NA,NA,NA,NA,NA,NA,49.03,97.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CYQK,NA,CYQK,NA,NA,NA,NA,NA,Canada,NA,NA,NA,49.788424,-94.363596,NA,NA,NA,NA,NA,NA,NA,49.788424,-94.363596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CWEX,NA,CWEX,NA,NA,NA,NA,NA,Canada,NA,NA,NA,49,-97.2375,NA,NA,NA,NA,NA,NA,NA,49,-97.2375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CXMD,NA,CXMD,NA,NA,NA,NA,NA,Canada,NA,NA,NA,49.208623,-98.056558,NA,NA,NA,NA,NA,NA,NA,49.208623,-98.056558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CZTB,NA,CZTB,NA,NA,NA,NA,NA,Canada,NA,NA,NA,48.371046,-89.313636,NA,NA,NA,NA,NA,NA,NA,48.371046,-89.313636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2C8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.784,-97.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010 2011 2012 2013 2014 2015 2016 2017,2010,2017
NA,GAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.405,-97.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010 2011 2012 2013 2014 2015 2016 2017,2010,2017
NA,DVL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.11667,-98.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,BWP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.24417,-96.60722,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2005,2017
NA,GWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.217,-97.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011 2012 2013 2014 2015 2016 2017,2011,2017
NA,8D3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.66889,-96.99139,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,HYR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.02611,-91.44417,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,RZN,NA,NA,BURNETT,NA,NA,NA,NA,WI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8225,-92.3725,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2001,2017
NA,OEO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.30833,-92.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,RNH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.15,-92.53333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2e3,2017
NA,LUM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.89222,-91.86778,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2004,2017
NA,Y51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.579,-90.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010 2011 2012 2013 2014 2015 2016 2017,2010,2017
NA,PDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.01917,-91.12361,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,MCW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1544,-93.3269,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,SPW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.16444,-95.20167,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.40111,-94.74722,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,SUX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3913,-96.3791,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,YKN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.8783,-97.3633,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,BKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,-96.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2015 2016 2017,1999,2017
NA,MHE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7743,-98.0384,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,MDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.016,-97.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009 2010 2011 2012 2013 2014 2015 2016 2017,2009,2017
NA,JMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.9258,-98.6691,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,ETH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.77972,-96.54472,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,VWU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.15389,-94.51667,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,ACQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.07361,-93.55306,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2002,2017
NA,Y49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.1595,-94.6453,NA,NA,NA,NA,NA,NA,NA,47.1595,-94.6453,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014 2015 2016 2017,2014,2017
NA,TWM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.04917,-91.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,TKC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.24917,-95.60722,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2004,2017
NA,P61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.58796,-90.82307,NA,NA,NA,NA,NA,NA,NA,47.58796,-90.82307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,21D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,-92.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2008,2017
NA,JYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.98611,-94.55778,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,SYN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.47556,-93.01639,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2005,2017
NA,60Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.99124,-95.781479,NA,NA,NA,NA,NA,NA,NA,43.99124,-95.781479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,D39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.707,-94.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010 2011 2012 2013 2014 2015 2016 2017,2010,2017
NA,9MN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.01976,-92.48306,NA,NA,NA,NA,NA,NA,NA,44.01976,-92.48306,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011 2012 2013 2014 2015 2016 2017,2011,2017
NA,PNM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.55972,-93.60806,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,MGG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.23583,-93.98556,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,3N8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.258435,-95.929835,NA,NA,NA,NA,NA,NA,NA,47.258435,-95.929835,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014 2015 2016 2017,2014,2017
NA,14Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,-94.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2008,2017
NA,04W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.023,-92.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010 2011 2012 2013 2014 2015 2016 2017,2010,2017
NA,Y63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.986,-95.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2008,2017
NA,TOB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.01778,-92.83139,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,CDD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.26667,-92.48333,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
NA,CNB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.72944,-96.26611,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2006,2017
NA,CFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.15917,-93.84333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,2004,2017
NA,AQP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2275,-96.00722,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999 2000 2003 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017,1999,2017
