site_catid,site_name,street_addr,city_name,zipcode,stateid,cntyid,siteid,horiz_datum,lat,long,horiz_method_code,horiz_accuracy,horiz_scale,elev_measure,elev_method_code,elev_datum,elev_accuracy,timezone,uarid,aqcrid,landuse,setting,census_tract,block,established,terminated
27-005-2013,FWS Wetland Management District,26624 NORTH TOWER ROAD,Detroit Lakes,,27,5,2013,WGS84,46.851811,-95.846272,12,1.52,0,0,,UNKNOWN,1,CENTRAL,,132,FOREST,RURAL,,,2004-10-13,
27-007-2302,"KITCHAGAMI REGIONAL LIBRARY, 1 STORY BUILDING","509 AMERICA AVE.,BEMIDJI,MN 56601",Bemidji,,27,7,2302,WGS84,47.473285251,-94.884720995,12,1.52,0,0,,UNKNOWN,0,CENTRAL,0,132,COMMERCIAL,URBAN AND CENTER CITY,,,1998-10-02,
27-007-2303,Red Lake District,"Box 499, Red Lake, MN 56671",Red Lake,56670,27,7,2303,WGS84,47.877222,-95.01222,27,10,,369.4,8,MEAN SEA-LEVEL,,CENTRAL,,132,RESIDENTIAL,RURAL,95080,2138,2011-01-01,
27-007-2304,Red Lake Nation,24760 Hospital Drive,Red Lake,,27,7,2304,WGS84,47.8781590009383,-95.029172,103,7,,369,3,MEAN SEA-LEVEL,5,CENTRAL,,132,RESIDENTIAL,RURAL,950800,1056,2014-10-01,
27-007-5501,,"24900 Elementary St., Red Lake, MN 56671",,56671,27,7,5501,WGS84,47.8700950009383,-95.03395,103,10,,3900,1,NAVD88,10,CENTRAL,,132,COMMERCIAL,RURAL,95080,1054,2010-11-01,
27-007-5502,Ponemah School,"25039 Abinoojeenh Dr., Ponemah, MN  56666",Ponemah,56666,27,7,5502,WGS84,48.021336,-94.912264,103,10,,414,1,NAVD88,10,CENTRAL,,132,COMMERCIAL,URBAN AND CENTER CITY,950800,2024,2011-05-31,
27-013-5501,,3501 3rd Ave,,56001,27,13,5501,WGS84,44.217605,-93.994774,103,2,,251,8,MEAN SEA-LEVEL,2,CENTRAL,,128,INDUSTRIAL,RURAL,970200,1013,2014-09-02,
27-013-5502,,3501 3rd Ave,,56001,27,13,5502,WGS84,44.208687,-93.988836,103,2,,251,8,MEAN SEA-LEVEL,2,CENTRAL,,128,INDUSTRIAL,RURAL,970200,1070,2014-09-14,
27-017-0013,,KNIFE FALLS DAM,Cloquet,,27,17,13,WGS84,46.726054371,-92.449356937,27,0,0,360,,UNKNOWN,0,CENTRAL,0,129,INDUSTRIAL,URBAN AND CENTER CITY,,,1988-10-06,
27-017-6312,,SAMPLER #2 - HULTBERG RD - NE OF CLOQUET,,,27,17,6312,WGS84,46.72633221,-92.428246172,27,0,0,363,,UNKNOWN,0,CENTRAL,0,129,INDUSTRIAL,RURAL,,,1989-07-21,
27-017-6314,,SAMPLER #4 - LANDFILL SITE,,,27,17,6314,WGS84,46.72161024,-92.431023224,27,0,0,354,,UNKNOWN,0,CENTRAL,0,129,INDUSTRIAL,RURAL,,,1989-11-06,
27-017-6315,,SAMPLER # 1A - MILL ENTRANCE & HWY 45,,,27,17,6315,WGS84,46.723554285,-92.437412117,27,0,0,361,,UNKNOWN,0,CENTRAL,0,129,INDUSTRIAL,RURAL,,,1989-09-01,
27-017-6316,,HULTBERG RD & N. CLOQUET RD,,,27,17,6316,WGS84,46.733554128,-92.419079151,27,0,0,393,,UNKNOWN,0,CENTRAL,0,129,AGRICULTURAL,RURAL,,,1989-03-07,2003-06-01
27-017-6318,,SCANLON DAM - HIGHWAY 45,,,27,17,6318,WGS84,46.709110213,-92.424634515,27,0,0,351,,UNKNOWN,0,CENTRAL,0,129,FOREST,RURAL,,,1990-01-01,
27-017-6319,,2201 AVE. B,Cloquet,,27,17,6319,WGS84,46.724068,-92.437936,15,50,24000,120,14,MEAN SEA-LEVEL,50,CENTRAL,2240,129,RESIDENTIAL,RURAL,,,2000-01-01,
27-017-7416,Fond du Lac Band 7416,175 UNIVERSITY RD,Cloquet,55720,27,17,7416,WGS84,46.7052700009415,-92.52377,12,1,0,378,,UNKNOWN,0,CENTRAL,,129,FOREST,RURAL,97070,1013,2001-05-24,
27-017-7417,Fond du Lac Band,28 University Road,Cloquet,55720,27,17,7417,WGS84,46.7136940009414,-92.511722,103,3,,433,3,MEAN SEA-LEVEL,5,CENTRAL,,129,COMMERCIAL,RURAL,970700,1004,2015-03-17,
27-019-0052,Chaska,141 Jonathan Blvd,Chaska,,27,19,52,WGS84,44.850655,-93.591809,18,500,24000,800,14,UNKNOWN,500,CENTRAL,5120,131,RESIDENTIAL,RURAL,,,2002-11-10,2007-12-31
27-021-0001,Leech Lake Nation: Chatfield,N/A,,,27,21,1,WGS84,47.159942,-94.150987,28,0.01,0,3.86,8,UNKNOWN,1,CENTRAL,,132,RESIDENTIAL,RURAL,,,2002-06-15,
27-021-5501,Leech Lake School Air Toxics,"108 3rd St. SW, Cass Lake, MN  56633",,56633,27,21,5501,WGS84,47.374,-94.605,103,1,,404.986,1,NAVD88,1,CENTRAL,,132,RESIDENTIAL,RURAL,961200,1041,2011-07-01,
27-029-0001,,"COMM. CENTER,RICE LAKE VILL., RT. 2,BAGL",,,27,29,1,WGS84,47.383847094,-95.519467489,27,0,0,462,,UNKNOWN,0,CENTRAL,,132,AGRICULTURAL,RURAL,,,1984-01-01,
27-031-7810,Grand Portage Band,27 Store Rd.,,,27,31,7810,WGS84,47.972085,-89.69098,12,1.52,0,125,1,UNKNOWN,1,CENTRAL,,129,FOREST,RURAL,,,2005-12-12,
27-035-3202,Fort Ripley,"HIGHWAY 371, FT. RIPLEY, MN",,,27,35,3202,WGS84,46.164665575,-94.359378692,12,1.52,0,0,,UNKNOWN,0,CENTRAL,,132,AGRICULTURAL,RURAL,,,2000-10-03,
27-035-3203,Brainerd MPCA,7678 COLLEGE RD.,Baxter,,27,35,3203,WGS84,46.351826047,-94.237178858,18,1.52,0,0,14,UNKNOWN,1.52,CENTRAL,,132,COMMERCIAL,RURAL,,,2004-03-25,2004-10-15
27-035-3204,Brainerd Lakes Regional Airport,16384 AIRPORT RD,Brainerd,56401,27,35,3204,WGS84,46.396740000942,-94.1303,12,1.52,0,381,,UNKNOWN,1,CENTRAL,,132,FOREST,RURAL,95080,3073,2004-10-13,
27-037-0001,Eagan,3450 DODD ROAD,Eagan,,27,37,1,WGS84,44.833298844,-93.115217664,27,0,0,0,,UNKNOWN,0,CENTRAL,5120,131,RESIDENTIAL,SUBURBAN,,,1983-01-01,2005-12-31
27-037-0008,,HWY 52 & HWY 55,Rosemount,,27,37,8,WGS84,44.756910852,-93.017990864,27,0,0,276,,UNKNOWN,0,CENTRAL,5120,131,INDUSTRIAL,SUBURBAN,,,1988-12-01,
27-037-0009,,HWY 52 & 117TH STREET,Rosemount,,27,37,9,WGS84,44.773577606,-93.036602832,27,0,0,280,,UNKNOWN,0,CENTRAL,5120,131,INDUSTRIAL,SUBURBAN,,,1989-02-14,
27-037-0020,Flint Hills Refinery 420,12821 PINE BEND TRAIL,Rosemount,55068,27,37,20,WGS84,44.7632300009432,-93.03255,27,0,0,288,,UNKNOWN,0,CENTRAL,5120,131,INDUSTRIAL,RURAL,6100,1051,1972-01-01,
27-037-0021,,SR HIGH SCHOOL (ROSE MOUNT),,,27,37,21,WGS84,44.742187846,-93.129105814,27,0,0,0,,UNKNOWN,0,CENTRAL,0,131,RESIDENTIAL,SUBURBAN,,,1973-01-01,
27-037-0025,,"NE OF KOCH REFINERY, PINE BEND",,,27,37,25,WGS84,44.771355651,-93.032435641,27,0,0,287,,UNKNOWN,0,CENTRAL,0,131,INDUSTRIAL,RURAL,,,1984-01-01,
27-037-0026,,"NW OF KOCH REFINERY, PINE BEND",,,27,37,26,WGS84,44.77885548,-93.04882537,27,0,0,284,,UNKNOWN,0,CENTRAL,0,131,INDUSTRIAL,RURAL,,,1984-01-01,
27-037-0027,,"W OF KOCH REFINERY, PINE BEND",,,27,37,27,WGS84,44.769688443,-93.057714547,27,0,0,266,,UNKNOWN,0,CENTRAL,0,131,INDUSTRIAL,RURAL,,,1984-01-01,
27-037-0028,,"S OF KOCH REFINERY, PINE BEND",,,27,37,28,WGS84,44.746355658,-93.042713642,27,0,0,263,,UNKNOWN,0,CENTRAL,0,131,INDUSTRIAL,RURAL,,,1984-01-01,
27-037-0421,Flint Hills Refinery 421,3134 117TH E.,Inver Grove Heights (RR name Inver Grove),,27,37,421,WGS84,44.777199,-93.040974,18,50,24000,120,14,UNKNOWN,50,CENTRAL,5120,131,INDUSTRIAL,RURAL,,,2003-08-04,2007-08-10
27-037-0423,Flint Hills Refinery 423,2142 120TH STREET EAST,Inver Grove Heights (RR name Inver Grove),55068,27,37,423,WGS84,44.7755300009432,-93.06299,27,0,0,272,,UNKNOWN,0,CENTRAL,5120,131,INDUSTRIAL,RURAL,6100,1007,1990-09-01,
27-037-0424,,11680 RICH VALLEY BOULEVARD,Inver Grove Heights (RR name Inver Grove),,27,37,424,WGS84,44.779688365,-93.062436885,27,0,0,264,,UNKNOWN,0,CENTRAL,5120,131,AGRICULTURAL,RURAL,,,1990-09-01,
27-037-0425,,1911 105TH STREET EAST.,Inver Grove Heights (RR name Inver Grove),,27,37,425,WGS84,44.799580215,-93.07286559,27,0,0,277,,UNKNOWN,0,CENTRAL,5120,131,AGRICULTURAL,RURAL,,,1990-09-01,
27-037-0426,,NE OF PLANT FACILITY,,,27,37,426,WGS84,44.773002638,-93.033071692,27,0,0,287,,UNKNOWN,0,CENTRAL,5120,131,INDUSTRIAL,RURAL,,,1990-09-01,
27-037-0427,,HWY 52 & HWY 55-1/4 ML SE OF ACID PLANT,Rosemount,,27,37,427,WGS84,44.759547834,-93.018469926,27,0,0,276,,UNKNOWN,0,CENTRAL,0,131,INDUSTRIAL,SUBURBAN,,,1991-01-01,
27-037-0428,,"10880 AKRON AVE, INVER GROVE HEIGHTS  MN",Inver Grove Heights (RR name Inver Grove),,27,37,428,WGS84,44.792188142,-93.085493934,27,0,0,294,,UNKNOWN,0,CENTRAL,5120,131,AGRICULTURAL,RURAL,,,1991-11-23,
27-037-0439,Flint Hills Refinery 439,"CNTY 38 S. OF KOCK, WEST OF MN 52",Rosemount,,27,37,439,WGS84,44.748005651,-93.043479682,15,53.79,0,0,,UNKNOWN,0,CENTRAL,5120,131,INDUSTRIAL,RURAL,,,1998-05-13,
27-037-0441,Flint Hills Refinery 441,12555 Clayton Ave,Rosemount,55068,27,37,441,WGS84,44.7468000009432,-93.02611,15,1.52,0,265,,UNKNOWN,0,CENTRAL,5120,131,INDUSTRIAL,RURAL,6100,1050,1999-05-25,2007-12-18
27-037-0442,Flint Hills Refinery 442,COUNTY RD 42,Rosemount,55068,27,37,442,WGS84,44.7385700009432,-93.00496,12,1.52,0,263,,UNKNOWN,0,CENTRAL,5120,131,AGRICULTURAL,RURAL,6100,1048,2000-05-30,
27-037-0443,Flint Hills Refinery 443,"14035 Blaine Ae. E., Rosemount, MN",Rosemount,55068,27,37,443,WGS84,44.7456620009432,-93.05541,103,3,,265,8,MEAN SEA-LEVEL,2,CENTRAL,,131,INDUSTRIAL,RURAL,6100,1031,2007-01-01,
27-037-0462,,S. HWY 149 & YANKEE DOODLE ROAD,Eagan,,27,37,462,WGS84,44.833298836,-93.116606715,27,0,0,273,,UNKNOWN,0,CENTRAL,5120,131,INDUSTRIAL,RURAL,,,1989-02-03,
27-037-0463,,NW OF PLANT FACILITY AT 3385 S. HWY 149,Eagan,,27,37,463,WGS84,44.834687818,-93.119106827,27,0,0,276,,UNKNOWN,0,CENTRAL,5120,131,INDUSTRIAL,RURAL,,,1989-02-03,
27-037-0465,Gopher Resources,149 & Yankee Doodle Rd.,Eagan,55121,27,37,465,WGS84,44.8343100009432,-93.11622,18,1.52,0,281,,UNKNOWN,1,CENTRAL,5120,131,INDUSTRIAL,SUBURBAN,6071,1026,2006-01-01,
27-037-0470,Apple Valley,225 GARDEN VIEW DRIVE,Apple Valley,55124,27,37,470,WGS84,44.7384600009432,-93.23725,12,1.52,0,306,,UNKNOWN,0,CENTRAL,5120,131,RESIDENTIAL,SUBURBAN,6081,2009,2000-10-03,
27-037-0480,Near Road I-35,16750 Kenyon Ave,Lakeville,55044,27,37,480,WGS84,44.706123,-93.285803,103,1,,312,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,COMMERCIAL,SUBURBAN,60813,1000,2015-01-01,
27-037-1001,,"13155 COURT HOUSE BLVD., ROSEMONT",Rosemount,,27,37,1001,WGS84,44.758299845,-93.017990887,27,0,0,281,,UNKNOWN,0,CENTRAL,0,131,INDUSTRIAL,RURAL,,,1985-01-01,
27-037-6018,Hastings,1600 HWY 55 - DAKOTA CO. GOVERNMENT CNTR,Hastings,,27,37,6018,WGS84,44.749967379,-92.887984799,27,0,0,277,,UNKNOWN,0,CENTRAL,5120,131,RESIDENTIAL,SUBURBAN,,,1990-05-23,2005-03-15
27-037-9049,,1500 FT NE OF BLACK DOG PLANT ON PLT PRO,Burnsville,,27,37,9049,WGS84,44.811075928,-93.251611282,27,0,0,214,,UNKNOWN,0,CENTRAL,5120,131,INDUSTRIAL,SUBURBAN,,,1992-08-27,
27-041-2010,Alexandria toxics site,"ALEXANDRIA, DOUGLAS COUNTY",Alexandria,,27,41,2010,WGS84,45.883294879,-95.380315811,15,10.16,0,0,,UNKNOWN,0,CENTRAL,,132,RESIDENTIAL,URBAN AND CENTER CITY,,,1996-09-06,
27-041-2110,Brandon Township,7208 COUNTY RD. 16 NW,,,27,41,2110,WGS84,45.968216841,-95.605594494,12,1.52,0,0,,UNKNOWN,0,CENTRAL,,132,AGRICULTURAL,RURAL,,,2000-10-03,
27-047-5401,Albert Lea City Hall,"221 CLARK ST,ALBERT LEA, MN 56007",Albert Lea,,27,47,5401,WGS84,43.650235149,-93.366598915,12,1.52,0,0,,UNKNOWN,0,CENTRAL,5120,128,COMMERCIAL,URBAN AND CENTER CITY,,,1999-10-01,
27-049-0004,,LIBRARY - 225 BROADWAY ST.,Red Wing,,27,49,4,WGS84,44.56496761,-92.535190262,27,0,0,216,,UNKNOWN,0,CENTRAL,0,128,RESIDENTIAL,URBAN AND CENTER CITY,,,1982-07-10,
27-049-0005,,604 MAIN STREET,Red Wing,,27,49,5,WGS84,44.56524561,-92.535190264,27,0,0,216,,UNKNOWN,0,CENTRAL,0,128,RESIDENTIAL,URBAN AND CENTER CITY,,,1987-06-26,
27-049-5302,Stanton Air Field,1235 HIGHWAY 19,,,27,49,5302,WGS84,44.473754,-93.012611,28,10,0,300,,UNKNOWN,10,CENTRAL,,128,AGRICULTURAL,RURAL,,,2003-05-12,
27-049-5356,MPCA SITE 5356,LEO TOWNSHIP GOODHUE COUNTY,,,27,49,5356,WGS84,44.397619737,-92.831438833000007,15,8.09,0,0,,UNKNOWN,0,CENTRAL,0,128,AGRICULTURAL,RURAL,,,1996-09-01,
27-053-0050,Minneapolis Fire Station 2,143 13TH AVE. N.E.,Minneapolis,,27,53,50,WGS84,45.001229,-93.267117,27,0,0,254,,UNKNOWN,0,CENTRAL,5120,131,COMMERCIAL,URBAN AND CENTER CITY,,,1978-01-01,2007-01-01
27-053-0053,Minneapolis Central Library,300 NICOLLET MALL,Minneapolis,,27,53,53,WGS84,44.981076363,-93.26966921,27,0,0,262,,UNKNOWN,0,CENTRAL,5120,131,COMMERCIAL,URBAN AND CENTER CITY,,,1978-08-01,2003-12-31
27-053-0054,,"MT SANAI HOSPITAL, 2215 PARK AVENUE",Minneapolis,,27,53,54,WGS84,44.959965344,-93.263835735,27,0,0,268,,UNKNOWN,0,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,,,1980-09-24,
27-053-0057,,318 4TH STREET NE,Minneapolis,,27,53,57,WGS84,44.992187509,-93.257724977,27,0,0,254,,UNKNOWN,0,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,,,1981-01-01,
27-053-0058,,704 HENNEPIN AVE.,Minneapolis,,27,53,58,WGS84,44.978576303,-93.275503364,27,0,0,262,,UNKNOWN,0,CENTRAL,5120,131,COMMERCIAL,URBAN AND CENTER CITY,,,1986-01-01,
27-053-0059,,3002 HENNEPIN AVENUE SOUTH,Minneapolis,,27,53,59,WGS84,44.948576118,-93.285503291,27,0,0,0,,UNKNOWN,0,CENTRAL,5120,131,COMMERCIAL,URBAN AND CENTER CITY,,,1987-01-01,
27-053-0260,MPCA SITE 0260,HENNEPIN CNTY RD 9 & ZACHERY,Minneapolis,,27,53,260,WGS84,45.032742196,-93.421063621,18,273.27,500000,0,,UNKNOWN,0,CENTRAL,5120,131,RESIDENTIAL,SUBURBAN,,,1996-09-06,
27-053-0908,,3104 Pacific Street,,55411,27,53,908,WGS84,45.012102,-93.2776699,27,5,,248,8,MEAN SEA-LEVEL,3,CENTRAL,5120,131,INDUSTRIAL,URBAN AND CENTER CITY,101600,4000,2013-01-01,
27-053-0909,Lowry Avenue,3104 Pacific Street,Minneapolis,55411,27,53,909,WGS84,45.0121020009432,-93.276699,103,5,,248.4,8,MEAN SEA-LEVEL,5,CENTRAL,5120,131,INDUSTRIAL,URBAN AND CENTER CITY,101600,4000,2013-01-01,
27-053-0910,Pacific Street,2710 North Pacific Street,Minneapolis,55411,27,53,910,WGS84,45.0082970009432,-93.277041,103,1,,249,8,MEAN SEA-LEVEL,5,CENTRAL,5120,131,INDUSTRIAL,URBAN AND CENTER CITY,101600,4026,2015-06-01,
27-053-0953,,1404 CENTRAL AVENUE NE,Minneapolis,,27,53,953,WGS84,45.002465599,-93.247724797,27,0,0,256,,UNKNOWN,0,CENTRAL,5120,131,COMMERCIAL,URBAN AND CENTER CITY,,,1989-08-09,
27-053-0954,Hennepin Center for the Arts,528 HENNEPIN AVENUE,Minneapolis,,27,53,954,WGS84,44.980995,-93.273719,27,0,0,259,,UNKNOWN,0,CENTRAL,5120,131,COMMERCIAL,URBAN AND CENTER CITY,,,1989-07-12,
27-053-0955,,"1422 WEST LAKE STREET SUITE 210, MPLS",Minneapolis,,27,53,955,WGS84,44.948297997,-93.299392743,27,0,0,269,,UNKNOWN,0,CENTRAL,5120,131,COMMERCIAL,URBAN AND CENTER CITY,,,1992-04-20,
27-053-0956,MPCA SITE 0956,"2710 PACIFIC ST. MINNEAPOLIS, MN",Minneapolis,,27,53,956,WGS84,45.007187349,-93.277447816,18,91.09,500000,0,,UNKNOWN,0,CENTRAL,5120,131,INDUSTRIAL,URBAN AND CENTER CITY,,,1996-09-24,
27-053-0957,Camden Industrial Area,3636 WASHINGTON AVE N,Minneapolis,55412,27,53,957,WGS84,45.0210760009432,-93.28217,7,0.03,10000,0,8,MEAN SEA-LEVEL,5,CENTRAL,5120,131,INDUSTRIAL,URBAN AND CENTER CITY,100900,1002,1996-11-19,
27-053-0958,MPCA SITE 0958 1997/1998 AIR TOXICS SITE,"4200 W RIVER PARKWAY MPLS, MN, 55406",Minneapolis,,27,53,958,WGS84,44.926076461,-93.204666233,15,1.47,0,0,,UNKNOWN,0,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,,,1997-09-24,
27-053-0959,MPCA SITE 0959 INTER PLASTICS,"2112 BROADWAY STREET NE, MPLS",Minneapolis,,27,53,959,WGS84,45.003865595,-93.236924451,12,1.52,0,0,,UNKNOWN,0,CENTRAL,5120,131,INDUSTRIAL,URBAN AND CENTER CITY,,,1998-10-14,
27-053-0960,Phillips Community Center,2323 11TH AVE SOUTH,Minneapolis,55404,27,53,960,WGS84,44.9594090009432,-93.256892,12,1.52,0,0,8,MEAN SEA-LEVEL,5,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,106000,2015,1999-04-14,
27-053-0961,Richfield Intermediate School,7020 12TH AVE S.,Richfield,55423,27,53,961,WGS84,44.8755100009432,-93.25892,12,1.52,0,262,,UNKNOWN,0,CENTRAL,5120,131,RESIDENTIAL,SUBURBAN,2480,1000,1999-04-12,
27-053-0962,Near Road I-35/I-94,1444 E 18th St,Minneapolis,55404,27,53,962,WGS84,44.9652420009432,-93.254759,103,5,,259,8,MEAN SEA-LEVEL,5,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,106000,1001,2013-01-01,
27-053-0963,Andersen School,2727 10th Ave. S.,Minneapolis,55407,27,53,963,WGS84,44.9536600009432,-93.25821,12,1.52,0,267,,UNKNOWN,0,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,790,1001,2001-01-01,
27-053-0964,MSP Airport,MSP AIRPORT BUILDING 6301,,,27,53,964,WGS84,44.888551,-93.195377,28,0.05,0,1,14,MEAN SEA-LEVEL,1,CENTRAL,5120,131,COMMERCIAL,SUBURBAN,,,2002-02-01,
27-053-0965,Putnam Elementary School,1616 BUCHANAN ST.,Minneapolis,,27,53,965,WGS84,45.004478,-93.240046,18,1,0,0,8,NAVD88,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,,,2002-06-06,2007-01-01
27-053-0966,City of Lakes Building,309 2nd Ave. S.,Minneapolis,55401,27,53,966,WGS84,44.9794400009432,-93.26613,18,0.05,24000,300,8,MEAN SEA-LEVEL,5,CENTRAL,5120,131,COMMERCIAL,URBAN AND CENTER CITY,10460,2018,2002-10-07,
27-053-0967,Mid-City Industrial,645 JOHNSON ST,Minneapolis,,27,53,967,WGS84,44.996463,-93.234882,12,1.52,0,0,1,MEAN SEA-LEVEL,1,CENTRAL,5120,131,INDUSTRIAL,URBAN AND CENTER CITY,,,2004-04-23,2006-04-17
27-053-0968,Metropolitan Airports Commission,6040 28TH AVE S - MSP AIRPORT,Minneapolis,,27,53,968,WGS84,44.893005,-93.233227,12,1.52,0,0,,UNKNOWN,1,CENTRAL,5120,131,COMMERCIAL,URBAN AND CENTER CITY,,,2004-06-01,2007-01-01
27-053-0969,Wenonah Elementary School,5625 23rd Ave. S.,Minneapolis,55417,27,53,969,WGS84,44.9005700009432,-93.23828,12,1.52,0,257,,UNKNOWN,1,CENTRAL,5120,131,RESIDENTIAL,SUBURBAN,1180,5017,2005-04-08,
27-053-0971,,2300 N Second St,Minneapolis,55411,27,53,971,WGS84,45.0031576106835,-93.2788951922236,27,5,,40,8,MEAN SEA-LEVEL,5,CENTRAL,5120,131,INDUSTRIAL,URBAN AND CENTER CITY,10230,1024,2009-08-01,
27-053-0980,PAH 980,Bloomington Ave & Midtown Greenway,Minneapolis,55407,27,53,980,WGS84,44.949981,-93.252426,103,1,,256.883,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,7302,3006,2013-06-01,
27-053-0981,PAH 981,5th Ave S and Midtown Greenway,Minneapolis,55408,27,53,981,WGS84,44.9500537,-93.268946,27,1,,263.751,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,7802,1013,2013-06-01,
27-053-0982,PAH 982,Midtown Greenway & E 28th St,Minneapolis,55407,27,53,982,WGS84,44.951576,-93.244816,27,1,,258.315,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,7302,3001,2013-06-01,
27-053-0983,,Park Ave South between 26th and 28th street,Minneapolis,55407,27,53,983,WGS84,44.95253,-93.26587,103,1,,263.156,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,7802,2002,2013-06-01,
27-053-0984,,Bloomington Ave between 26th and 27th streets,Minneapolis,55407,27,53,984,WGS84,44.95428,-93.25112,103,1,,250,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,7302,1004,2013-06-01,
27-053-0985,,Little Earth parking lot off Cedar Ave,Minneapolis,55404,27,53,985,WGS84,44.956838,-93.247263,103,1,,257.842,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,7301,2001,2013-06-01,
27-053-0986,,Little Earth community garden,Minneapolis,55404,27,53,986,WGS84,44.957046,-93.244683,103,1,,257.774,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,7301,2001,2013-06-01,
27-053-0987,,E 25th between 12th & 13th Aves,Minneapolis,55404,27,53,987,WGS84,44.95768,-93.25625,103,1,,250,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,107200,2001,2013-06-01,
27-053-0988,,5th Ave S between 24th & 25th Sts,Minneapolis,55404,27,53,988,WGS84,44.958036,-93.268839,103,1,,263.84,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,107100,1007,2013-06-01,
27-053-0989,,East Phillips Park,Minneapolis,55404,27,53,989,WGS84,44.959377,-93.248687,103,1,,258.255,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,7301,1001,2013-06-01,
27-053-0990,,CHICAGO AVE SOUTH OF FRANKLIN AVE,Minneapolis,55404,27,53,990,WGS84,44.96189,-93.262937,103,1,,255.725,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,5902,2002,2013-06-01,
27-053-0991,,E 18th St between Park and Elliot Aves,Minneapolis,55404,27,53,991,WGS84,44.964992,-93.261434,103,1,,258.449,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,5902,1009,2013-06-01,
27-053-0992,,Peace Garden Site,Minneapolis,55404,27,53,992,WGS84,44.965411,-93.24799,103,1,,250,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,106200,1011,2013-06-01,
27-075-7634,,SCENIC OVERLOOK SW OF PLANT CNM10&CNM10A,Silver Bay,55614,27,75,7634,WGS84,47.276533,-91.272697,27,0,0,0,,UNKNOWN,0,CENTRAL,,129,INDUSTRIAL,RURAL,970300,3023,1990-01-01,
27-053-0993,,E 17th St between Stevens & 2nd Ave,Minneapolis,55403,27,53,993,WGS84,44.966352,-93.274931,103,1,,261.502,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,105700,1000,2013-06-01,
27-053-1901,Little Earth Residental Complex,2438 18th Ave S,Minneapolis,55404,27,53,1901,WGS84,44.95809,-93.24891,103,1,,283,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,7301,1002,2013-10-01,
27-053-1902,,2438 18th Ave S,Minneapolis,55404,27,53,1902,WGS84,44.95809,-93.24891,103,1,,283,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,7301,1002,2014-01-01,
27-053-1904,Greenway Neighborhood,1930 Midtown Greenway,Minneapolis,55407,27,53,1904,WGS84,44.95208,-93.24428,103,1,,259,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,INDUSTRIAL,URBAN AND CENTER CITY,7302,1000,2014-07-01,
27-053-1905,Harrison Neighborhood,1600 Glenwood Ave,Minneapolis,55405,27,53,1905,WGS84,44.981393,-93.300703,103,1,,260,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,RESIDENTIAL,URBAN AND CENTER CITY,104100,1001,2014-10-01,
27-053-1906,Lyndale Neighborhood,3101 Nicollet Ave,Minneapolis,55408,27,53,1906,WGS84,44.946341,-93.277353,103,1,,267,8,MEAN SEA-LEVEL,1,CENTRAL,5120,131,COMMERCIAL,URBAN AND CENTER CITY,8300,2003,2015-01-01,
